region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,WCC,-,-,-,-,10,34,-,-,-,-,-,-,44
CAR,Baguio,G. Aviation,122,102,130,96,76,22,58,32,36,-,66,108,848
CAR,Baguio,Military,62,94,0,10,14,4,10,-,-,-,-,8,202
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,10,24,62,26,122
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,-,-,-,-,-,24,-,24
I (Ilocos Norte),Laoag (International),Mandarin Airlines,18,16,16,18,18,16,18,18,18,16,-,-,172
I (Ilocos Norte),Laoag (International),HK Express,2,-,-,10,18,16,14,16,-,-,-,-,76
I (Ilocos Norte),Laoag (International),Air Macao,4,-,-,-,4,-,-,-,-,-,4,18,30
I (Ilocos Norte),Laoag (Domestic),PAL,62,56,66,84,88,72,66,62,60,60,62,64,802
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,62,56,62,62,62,62,62,62,62,60,58,62,732
I (Ilocos Norte),Laoag (Domestic),WCC,10,8,16,-,34,22,-,-,-,-,-,-,90
I (Ilocos Norte),Laoag (Domestic),G. Aviation,62,96,86,78,58,30,30,22,22,22,88,116,710
I (Ilocos Norte),Laoag (Domestic),Military,32,14,18,4,2,-,2,8,2,4,6,6,98
I (Ilocos Norte),Lingayen,G. Aviation,1166,720,598,680,602,416,308,122,32,252,452,538,5886
I (Ilocos Norte),Lingayen,Military,-,-,-,20,6,-,-,-,232,6,-,2,266
I (Ilocos Norte),San Fernando,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,North South  Air,28,50,36,46,36,42,16,20,12,20,4,22,332
I (Ilocos Norte),Vigan,G. Aviation,242,158,58,92,144,138,50,52,64,114,110,86,1308
I (Ilocos Norte),Vigan,Military,-,34,64,6,2,34,4,20,-,-,-,32,196
II (Cagayan Valley),Bagabag,G. Aviation,50,172,132,48,4,4,2,8,10,2,2,24,458
II (Cagayan Valley),Bagabag,Military,4,-,-,-,-,-,-,-,-,-,-,-,4
II (Cagayan Valley),Basco,Seair,-,58,94,110,120,72,42,42,-,-,-,-,538
II (Cagayan Valley),Basco,Chemtrad,-,6,-,-,-,-,-,-,-,-,-,-,6
II (Cagayan Valley),Basco,Batanes Air,-,6,-,4,-,4,44,36,-,-,-,-,94
II (Cagayan Valley),Basco,WCC,-,32,50,70,82,64,-,-,-,-,-,-,298
II (Cagayan Valley),Basco,G. Aviation,-,4,0,22,6,-,-,-,-,-,-,-,32
II (Cagayan Valley),Cauayan,Cebu Pacific,26,24,28,26,26,26,26,24,26,22,22,26,302
