region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
II (Cagayan Valley),Cauayan,G. Aviation,82,22,56,46,36,6,10,4,8,20,-,-,290
II (Cagayan Valley),Cauayan,PAL,-,-,-,-,-,-,-,-,-,6,-,-,6
II (Cagayan Valley),Cauayan,Seair,-,-,-,-,-,-,-,-,-,2,-,-,2
II (Cagayan Valley),Cauayan,Military,-,-,-,-,-,-,-,-,-,12,-,-,12
II (Cagayan Valley),Cauayan,Cyclone,448,346,248,392,334,236,586,588,708,434,92,614,5026
II (Cagayan Valley),Cauayan,WCC,-,72,88,100,106,60,84,60,74,28,96,-,768
II (Cagayan Valley),Itbayat,Chemtrad,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,Cyclone,28,64,66,68,226,52,46,84,56,18,0,64,772
II (Cagayan Valley),Palanan,WCC,44,38,48,68,198,40,56,46,66,12,64,42,722
II (Cagayan Valley),Palanan,G. Aviation,4,4,2,4,14,-,-,-,-,16,42,42,128
II (Cagayan Valley),Palanan,Military,-,8,-,-,8,-,-,-,-,28,8,8,60
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,18,16,16,-,12,18,16,16,18,18,12,12,172
II (Cagayan Valley),Tuguegarao (International),G. Aviation,-,-,-,-,-,-,-,-,2,-,-,-,2
II (Cagayan Valley),Tuguegarao (International),Military,-,-,-,-,-,-,-,-,-,2,-,-,2
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,90,56,60,60,62,62,62,62,60,58,50,56,738
II (Cagayan Valley),Tuguegarao (Domestic),PAL/Air Philippines ,78,56,72,82,76,66,62,62,74,84,80,86,878
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,42,38,48,54,72,82,62,52,-,-,-,-,450
II (Cagayan Valley),Tuguegarao (Domestic),ATX,-,-,-,-,-,-,-,-,-,-,-,26,26
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,18,10,-,14,-,10,-,-,32,26,10,28,148
II (Cagayan Valley),Tuguegarao (Domestic),Chemtrad,20,8,-,-,-,-,-,-,-,-,-,-,28
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone,6,4,-,-,-,-,-,-,2,-,16,30,58
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,40,56,52,108,52,30,8,28,16,12,16,30,448
II (Cagayan Valley),Tuguegarao (Domestic),Military,2,10,20,4,10,22,8,4,-,24,46,4,154
III (Central Luzon),Iba,G. Aviation,660,556,682,558,562,516,346,364,598,390,480,478,6190
III (Central Luzon),Subic ,International,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic ,Domestic,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic ,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,International,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Plaridel,G. Aviation,9466,8588,9304,7424,8422,8278,9156,5928,6514,8992,9950,5318,97340
NCR,NAIA,International,2919,5517,2862,2798,2886,2734,2814,2870,2616,2721,2753,3005,36495
NCR,NAIA,Domestic,5510,4927,5562,6137,6384,5651,5328,5235,4899,5225,5287,5996,66141
NCR,NAIA,G. Aviation,1656,-,1823,1722,1486,1424,1086,1317,1253,1239,1476,1646,16128
IV-A (CALABARZON)),Alabat,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Baler,G. Aviation,204,-,-,106,-,-,56,-,-,-,-,-,366
IV-B (MIMAROPA),Busuanga,PAL  Express,78,98,130,142,106,74,58,68,60,72,no report,-,886
IV-B (MIMAROPA),Busuanga,Cebu Pacific,102,80,92,108,106,74,58,68,60,72,no report,-,820
IV-B (MIMAROPA),Busuanga,Zest Air,62,56,62,60,62,58,60,62,60,62,no report,-,604
IV-B (MIMAROPA),Busuanga,Seair,-,-,-,2,-,-,-,-,-,-,-,-,2
IV-B (MIMAROPA),Busuanga,G. Aviation,110,154,88,114,146,134,136,158,184,136,-,-,1360
IV-B (MIMAROPA),Calapan,G. Aviation,100,226,-,236,220,106,260,44,48,46,20,48,1354
IV-B (MIMAROPA),Cuyo,Seair,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,Military,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),Jomalig,G. Aviation,8,-,-,-,-,-,-,-,-,-,-,-,8
IV-B (MIMAROPA),Lubang,G. Aviation,392,316,384,400,588,274,580,488,-,-,486,438,4346
IV-B (MIMAROPA),Mamburao,Paco,72,-,-,-,-,68,56,96,-,86,-,-,378
IV-B (MIMAROPA),Mamburao,G. Aviation,36,32,34,40,44,34,32,36,40,36,36,36,436
IV-B (MIMAROPA),Marinduque,Zest Air,26,14,24,28,30,22,-,-,-,-,-,-,144
IV-B (MIMAROPA),Marinduque,Seair,-,24,20,8,8,10,8,24,2,6,2,16,128
IV-B (MIMAROPA),Marinduque,G. Aviation,126,96,110,120,124,122,124,108,74,62,120,128,1314
IV-B (MIMAROPA),Puerto Princesa ,PAL,-,-,36,162,152,120,146,120,140,132,138,140,1286
IV-B (MIMAROPA),Puerto Princesa ,Air Philippines,162,196,212,208,212,186,184,204,194,202,192,194,2346
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,2,-,-,-,-,-,-,-,-,-,-,-,2
IV-B (MIMAROPA),Puerto Princesa ,Seair,64,56,62,60,62,60,62,60,62,68,120,60,796
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,6,-,4,-,-,-,-,-,-,-,-,-,10
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,138,198,166,216,208,152,236,156,-,-,164,132,1766
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,30,24,28,26,26,26,26,24,24,20,20,26,300
IV-B (MIMAROPA),Romblon,Seair,26,24,24,26,24,26,26,24,26,28,26,26,306
IV-B (MIMAROPA),Romblon,Zest Air,-,-,6,18,6,-,12,8,12,6,2,4,74
IV-B (MIMAROPA),Romblon,G. Aviation,2,-,-,2,-,2,-,-,-,4,-,2,12
IV-B (MIMAROPA),Romblon,Military,-,56,62,60,62,60,62,62,60,62,60,62,668
IV-A (CALABARZON)),San Jose,PAL,-,-,-,-,-,60,62,62,-,-,-,-,184
IV-A (CALABARZON)),San Jose,Air Philippines,62,56,62,60,62,60,60,46,44,46,30,34,622
IV-A (CALABARZON)),San Jose,Cebu Pacific,62,56,46,50,62,60,62,62,60,62,60,62,704
IV-A (CALABARZON)),San Jose,Zest Air,36,90,118,120,86,140,146,98,-,-,-,-,834
IV-A (CALABARZON)),San Jose,Asian Spirit,30,12,8,18,14,12,2,18,-,-,-,-,114
IV-A (CALABARZON)),San Jose,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),San Jose,Military,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Pinamalayan,G. Aviation,-,-,-,-,-,2,-,-,-,-,-,-,2
IV-B (MIMAROPA),Wasig,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Bulan,G. Aviation,88,58,62,60,62,60,60,62,60,62,60,58,752
V (Bicol Region),Daet,Seair,-,-,-,-,-,-,-,-,-,24,58,56,138
V (Bicol Region),Daet,G. Aviation,196,190,192,206,212,162,140,192,182,188,202,192,2254
V (Bicol Region),Legaspi,PAL,6,0,16,24,26,28,22,18,22,26,26,26,240
V (Bicol Region),Legaspi,Air Philippines,22,22,132,70,100,36,40,68,60,60,100,66,776
V (Bicol Region),Legaspi,Cebu Pacific,22,12,-,-,2,-,2,-,-,-,-,-,38
V (Bicol Region),Legaspi,Zest Air,28,56,46,52,62,60,62,60,60,62,58,56,662
V (Bicol Region),Legaspi,G. Aviation,14,2,56,30,26,2,4,2,18,16,6,18,194
V (Bicol Region),Legaspi,Military,10,10,12,20,166,-,4,-,12,8,6,4,252
V (Bicol Region),Masbate,Zest Air,10,10,12,20,166,-,4,-,12,8,6,4,252
V (Bicol Region),Masbate,G. Aviation,-,224,118,118,-,184,122,124,112,114,90,118,1324
V (Bicol Region),Masbate,Military,-,142,198,204,-,122,184,190,156,130,150,168,1644
V (Bicol Region),Masbate,Air Philippines,-,42,70,46,-,10,10,48,12,2,10,12,262
V (Bicol Region),Naga,Cebu Pacific,-,2,10,-,-,14,14,-,14,4,2,-,60
V (Bicol Region),Naga,Air Philippines,-,-,-,-,-,2,2,-,-,-,-,-,4
V (Bicol Region),Naga,G. Aviation,60,54,38,28,26,34,32,34,34,68,32,26,466
V (Bicol Region),Naga,Military,34,32,34,34,36,30,34,36,32,72,34,34,442
V (Bicol Region),Sorsogon,G. Aviation,-,-,10,6,12,6,4,4,-,4,2,2,50
V (Bicol Region),Virac,Cebu Pacific,-,4,-,12,2,22,10,12,-,-,-,-,62
V (Bicol Region),Virac,Zest Air,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,G. Aviation,620,496,508,560,620,600,600,584,360,336,360,490,6134
V (Bicol Region),Virac,Military,404,368,408,390,406,368,374,400,0,0,0,0,3118
VI (Western Visayas),Antique,G. Aviation,124,112,124,116,120,160,96,164,100,92,156,60,1424
VI (Western Visayas),Bacolod,PAL,240,176,360,456,496,480,492,492,480,496,476,460,5104
VI (Western Visayas),Bacolod,Cebu Pacific,570,502,472,644,386,288,418,294,-,-,-,-,3574
VI (Western Visayas),Bacolod,Zest Air,-,-,-,-,-,-,-,-,-,2772,2852,3420,9044
VI (Western Visayas),Bacolod,Air Philippines,-,-,540,770,716,560,516,474,498,-,-,-,4074
VI (Western Visayas),Bacolod,G. Aviation,380,364,450,622,566,602,538,578,384,-,-,-,4484
VI (Western Visayas),Caticlan,Total Aircraft,838,776,830,894,776,676,312,340,308,-,-,-,5750
VI (Western Visayas),Caticlan,Cebu Pacific,128,130,122,140,116,44,20,50,76,-,-,-,826
VI (Western Visayas),Caticlan,Air Philippines,-,2,2,-,-,6,2,4,2,-,-,-,18
VI (Western Visayas),Caticlan,Seair,616,496,560,592,620,600,628,408,360,372,360,504,6116
VI (Western Visayas),Caticlan,G. Aviation,1208,1124,1240,1180,1244,1192,1216,1232,1196,1264,1264,1308,14668
VI (Western Visayas),Caticlan,Military,176,152,220,556,572,500,552,556,648,696,612,552,5792
VI (Western Visayas),Iloilo,PAL,124,112,124,148,180,138,132,108,92,128,168,176,1630
VI (Western Visayas),Iloilo,Cebu Pacific,140,262,206,370,424,422,214,206,440,122,394,288,3488
VI (Western Visayas),Iloilo,Air Philippines,42,72,44,28,28,24,0,44,32,16,28,16,374
VI (Western Visayas),Iloilo,Zest Air,-,-,18,20,18,26,24,36,34,38,28,34,276
VI (Western Visayas),Iloilo,G. Aviation,-,-,-,-,-,12,24,32,30,30,4,-,132
VI (Western Visayas),Iloilo,Military,16,-,-,-,-,-,-,-,-,-,-,-,16
VI (Western Visayas),Kalibo (International),PAL,-,-,-,-,-,4,18,18,2,-,-,-,42
VI (Western Visayas),Kalibo (International),Manila Air,-,-,62,70,70,32,66,102,94,108,102,126,832
VI (Western Visayas),Kalibo (International),Mandarin Air,-,54,18,16,18,38,48,46,34,34,18,18,342
VI (Western Visayas),Kalibo (International),China S. Air,260,220,192,240,260,186,188,222,168,144,160,176,2416
VI (Western Visayas),Kalibo (International),Zest Air,640,628,262,180,228,150,148,140,130,144,134,172,2956
VI (Western Visayas),Kalibo (International),China Air,120,92,72,86,138,60,278,318,326,292,300,320,2402
VI (Western Visayas),Kalibo (Domestic),PAL,386,348,380,374,642,522,310,286,500,282,214,770,5014
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,38,10,-,10,-,16,-,2,-,-,-,-,76
VI (Western Visayas),Kalibo (Domestic),Air Philippines,62,56,62,60,62,60,60,62,60,62,60,64,730
VI (Western Visayas),Kalibo (Domestic),Zest Air,86,72,80,78,80,64,62,62,60,62,60,62,828
VI (Western Visayas),Kalibo (Domestic),G. Aviation,18,46,20,32,32,32,32,38,54,18,26,70,418
VI (Western Visayas),Kalibo (Domestic),Military,-,2,-,-,-,-,-,-,-,-,-,-,2
VI (Western Visayas),Roxas,PAL,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Roxas,Cebu Pacific,124,112,124,118,124,120,120,122,122,124,120,124,1454
VI (Western Visayas),Roxas,G. Aviation,126,112,126,120,126,120,122,122,112,126,122,124,1458
VI (Western Visayas),Roxas,Military,-,-,-,-,-,-,136,-,-,-,-,-,136
VII (Central Visayas),Dumaguete,PAL ,196,222,208,250,112,154,136,248,134,180,124,188,2152
VII (Central Visayas),Dumaguete,Cebu Pacific,-,-,6,2,-,-,-,-,-,-,2,2,12
VII (Central Visayas),Dumaguete,Air Philippines,638,611,534,540,598,578,802,876,698,704,858,590,8027
VII (Central Visayas),Dumaguete,G. Aviation,3232,2879,3230,3340,3474,3072,3078,3130,3196,3084,2882,3800,38397
VII (Central Visayas),Dumaguete,Military,1766,2137,2752,2542,2790,2002,1938,2216,4568,3040,3338,5154,34243
VII (Central Visayas),Mactan,International,214,177,202,158,186,228,248,248,450,558,624,388,3681
VII (Central Visayas),Mactan,Domestic,-,-,-,-,-,-,-,34,-,136,-,-,170
VII (Central Visayas),Mactan,G. Aviation,182,168,186,180,186,180,180,186,180,188,180,186,2182
VII (Central Visayas),Mactan,Military,124,112,122,120,124,112,116,116,110,118,104,126,1404
VII (Central Visayas),Siquijor,G. Aviation,-,-,-,-,-,-,-,-,-,20,60,62,142
VII (Central Visayas),Tagbilaran,PAL,60,56,78,82,86,88,74,72,68,86,86,100,936
VII (Central Visayas),Tagbilaran,Cebu Pacific,142,176,258,220,62,128,84,128,40,120,166,136,1660
VII (Central Visayas),Tagbilaran,Air Philippines,-,22,2,8,-,16,-,-,2,-,2,2,54
VII (Central Visayas),Tagbilaran,Zest Air,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Tagbilaran,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Tagbilaran,Military,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
VII (Central Visayas),Ubay,G. Aviation,no report submitted,-,-,4,4,-,-,-,-,-,-,-,8
VII (Central Visayas),Bantayan,G. Aviation,52,24,26,52,-,-,-,-,-,-,-,-,154
VIII (Eastern Visayas),Biliran,G. Aviation,76,48,56,52,52,52,52,36,36,24,-,-,484
VIII (Eastern Visayas),Borongan,G. Aviation,52,48,48,48,48,52,52,56,52,52,52,52,612
VIII (Eastern Visayas),Calbayog,PAL Express,52,48,52,52,52,52,56,56,52,52,52,52,628
VIII (Eastern Visayas),Calbayog,Cebu Pacific,16,-,-,-,24,-,6,-,-,-,-,-,46
VIII (Eastern Visayas),Calbayog,Zest Air,34,32,36,34,72,68,68,72,72,92,140,148,868
VIII (Eastern Visayas),Calbayog,Air Philippines,38,32,34,34,72,68,68,60,60,48,52,48,614
VIII (Eastern Visayas),Calbayog,G. Aviation,38,32,34,34,72,68,68,-,60,-,-,48,454
VIII (Eastern Visayas),Catarman,PAL Express,34,0,0,34,36,68,68,72,0,-,-,-,312
VIII (Eastern Visayas),Catarman,Cebu Pacific,32,32,24,34,72,68,72,68,68,72,68,60,670
VIII (Eastern Visayas),Catarman,Air Philippines,2,-,10,260,260,8,-,-,-,20,-,-,560
VIII (Eastern Visayas),Catarman,Zest Air,-,-,-,-,-,-,-,4,-,-,-,-,4
VIII (Eastern Visayas),Catarman,G. Aviation,2,-,-,2,6,2,2,4,-,-,-,4,22
VIII (Eastern Visayas),Catbalogan,G. Aviation,250,-,-,-,-,14,22,52,-,-,-,32,370
VIII (Eastern Visayas),Guiuan,G. Aviation,262,-,-,-,-,44,188,74,-,-,-,-,568
VIII (Eastern Visayas),Hilongos,G. Aviation,252,476,496,488,294,374,734,840,210,466,646,600,5876
VIII (Eastern Visayas),Maasin,G. Aviation,88,26,32,32,36,68,68,64,-,-,-,-,414
VIII (Eastern Visayas),Ormoc,Zest Air,246,180,186,182,186,196,184,188,-,-,-,-,1548
VIII (Eastern Visayas),Ormoc,Air Philippines,246,180,186,182,186,196,184,188,180,186,180,186,2280
VIII (Eastern Visayas),Ormoc,G. Aviation,58,54,62,58,62,60,62,62,102,62,114,114,870
VIII (Eastern Visayas),Tacloban,PAL,302,280,58,322,346,286,568,306,-,-,-,-,2468
VIII (Eastern Visayas),Tacloban,PAL Express,58,48,58,60,62,60,62,62,58,62,60,62,712
VIII (Eastern Visayas),Tacloban,Cebu Pacific,-,-,42,4,4,-,-,-,-,-,-,-,50
VIII (Eastern Visayas),Tacloban,Zest Air,18,18,20,102,32,20,44,8,-,-,-,-,262
VIII (Eastern Visayas),Tacloban,Seair,-,4,6,2,-,-,-,-,-,-,-,-,12
VIII (Eastern Visayas),Tacloban,G. Aviation,2,-,-,-,-,-,-,-,-,-,-,-,2
VIII (Eastern Visayas),Tacloban,Military,60,56,62,60,62,60,62,42,34,36,34,52,620
ARMM,Cagayan de Sulu,G. Aviation,90,88,96,94,98,92,96,98,94,100,94,94,1134
IX (Zamboanga Peninsula),Dipolog,PAL,40,72,90,62,50,28,32,66,54,64,48,52,658
IX (Zamboanga Peninsula),Dipolog,Cebu Pacific,0,4,20,32,14,2,2,-,-,-,-,8,82
IX (Zamboanga Peninsula),Dipolog,G. Aviation,6,4,2,-,-,-,-,-,-,-,-,-,12
IX (Zamboanga Peninsula),Dipolog,Military,62,54,66,64,72,56,4,0,18,24,24,26,470
IX (Zamboanga Peninsula),Ipil,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Jolo,AirPhil Express,-,2,6,8,36,34,36,36,34,36,70,78,376
IX (Zamboanga Peninsula),Liloy,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,
IX (Zamboanga Peninsula),Pagadian,Total Aircraft,64,60,60,62,100,60,4,0,26,44,62,62,604
ARMM,Sanga-Sanga,AirPhil Express,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IX (Zamboanga Peninsula),Siocon,G. Aviation,834,568,670,690,742,616,390,368,486,662,750,834,7610
IX (Zamboanga Peninsula),Zamboanga,Total Aircraft,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Butuan,PAL,86,56,62,66,62,60,62,62,60,62,60,62,760
XIII (Caraga),Butuan,Cebu Pacific,172,164,178,184,184,180,180,186,180,186,180,184,2158
XIII (Caraga),Butuan,G. Aviation,20,18,64,38,26,38,24,36,4,38,28,16,350
XIII (Caraga),Butuan,Military,14,6,26,12,2,2,2,8,10,2,8,6,98
X (Northern Mindanao),Cagayan de Oro,Total Aircraft,938,880,1016,1136,1118,1028,1032,1032,1044,1070,1078,1218,12590
X (Northern Mindanao),Cagayan de Oro,Philippine Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Camiguin,Seair,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Ozamis,PAL,124,112,104,88,0,66,62,-,-,-,-,-,556
X (Northern Mindanao),Ozamis,Air Philippines,-,112,-,-,-,-,-,-,-,12,-,-,124
X (Northern Mindanao),Ozamis,PAL Express,-,-,-,-,-,-,-,-,-,-,34,-,34
X (Northern Mindanao),Ozamis,Cebu Pacific,118,-,124,114,-,86,110,124,120,120,92,62,1070
X (Northern Mindanao),Ozamis,G. Aviation,14,14,10,20,-,12,4,18,10,-,-,16,118
XIII (Caraga),Siargao,Cebu Pacific,20,16,18,18,18,16,18,18,-,-,-,-,142
XIII (Caraga),Siargao,G. Aviation,6,14,30,32,42,8,8,1-,-,-,-,-,150
XIII (Caraga),Surigao,PAL,50,54,58,60,60,-,62,-,-,-,-,-,344
XIII (Caraga),Surigao,Cebu Pacific,34,38,42,42,44,56,72,52,52,52,52,44,580
XIII (Caraga),Surigao,Air Philippines,50,50,56,60,60,60,62,62,104,106,96,102,868
XIII (Caraga),Surigao,G. Aviation,24,100,120,82,76,30,42,42,-,-,-,-,516
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,4,18,-,12,24,-,8,-,-,-,-,-,66
XIII (Caraga),Bislig,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),General Santos Tambler,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),General Santos Tambler,PAL,124,56,62,60,62,60,60,-,60,62,60,62,728
XII (SOCCSKSARGEN),General Santos Tambler,Cebu Pacific,326,144,162,180,186,154,160,-,154,160,154,160,1940
XII (SOCCSKSARGEN),General Santos Tambler,G. Aviation,22,14,14,34,22,6,12,-,8,26,10,22,190
XI (Davao Region),Davao (International),Silk Air,36,32,36,32,42,34,34,36,34,36,42,44,438
XI (Davao Region),Davao (Domestic),PAL,472,400,450,468,436,376,370,326,242,252,246,254,4292
XI (Davao Region),Davao (Domestic),Cebu Pacific,748,696,750,732,774,720,728,746,700,692,704,730,8720
XI (Davao Region),Davao (Domestic),Air Philippines,-,-,-,-,-,-,20,62,144,320,338,368,1252
XI (Davao Region),Davao (Domestic),Zest Air,62,50,82,108,118,120,116,108,106,102,118,124,1214
XI (Davao Region),Davao (Domestic),G. Aviation,248,920,964,360,214,0,226,232,-,-,268,254,3686
XI (Davao Region),Davao (Domestic),Military,-,-,-,-,-,220,-,-,-,-,-,-,220
XI (Davao Region),Mati,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Tandag,G. Aviation,2,8,22,20,-,4,2,-,-,-,-,-,58
ARMM,Cotabato,PAL,62,56,118,118,118,60,60,60,-,-,-,-,652
ARMM,Cotabato,Cebu Pacific,70,56,126,126,126,60,60,60,60,62,60,-,866
ARMM,Cotabato,G. Aviation,16,38,54,54,54,40,30,30,28,18,26,-,388
ARMM,Cotabato,Military,94,64,158,158,158,72,80,114,54,68,50,-,1070
X (Northern Mindanao),Iligan,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Malabang,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
