region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,G. Aviation,126,168,156,120,82,46,84,38,34,56,98,144,1152
CAR,Baguio,Military,12,4,46,12,-,10,6,4,-,2,-,20,116
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,2,18,20,18,18,20,20,116
I (Ilocos Norte),Laoag (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),HK Express,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),PAL,116,88,106,86,88,84,92,88,80,88,88,88,1092
I (Ilocos Norte),Laoag (Domestic),Astro Air,4,-,-,-,-,-,-,-,-,-,-,-,4
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,64,58,64,62,66,62,62,56,62,64,64,60,744
I (Ilocos Norte),Laoag (Domestic),Seair,-,-,-,54,60,42,16,-,-,-,-,-,172
I (Ilocos Norte),Laoag (Domestic),Air Republic,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Far East Avia.,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),G. Aviation,58,56,88,60,30,64,74,40,74,106,26,52,728
I (Ilocos Norte),Laoag (Domestic),Military,-,2,2,-,-,-,2,-,-,2,6,2,16
I (Ilocos Norte),Lingayen,G. Aviation,5122,3922,2684,4422,5084,4250,3348,2084,3478,5862,5256,2526,48038
I (Ilocos Norte),Lingayen,Military,-,32,60,-,8,-,-,-,-,-,-,-,100
I (Ilocos Norte),San Fernando,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,North South  Air,24,28,26,12,18,30,6,-,-,12,20,0,176
I (Ilocos Norte),Vigan,G. Aviation,238,246,358,314,352,294,306,172,294,286,206,342,3408
I (Ilocos Norte),Vigan,Military,-,-,36,-,-,-,-,-,-,-,-,-,36
II (Cagayan Valley),Bagabag,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Bagabag,Cyclone,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Cyclone,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,North Sky Air,54,1174,60,8,14,16,28,28,34,58,44,32,1550
II (Cagayan Valley),Basco,Sky Jet,20,24,40,44,28,16,-,-,-,-,-,-,172
II (Cagayan Valley),Basco,PAL Express,-,-,-,4,28,26,24,24,22,28,56,54,266
II (Cagayan Valley),Basco,JG Aircraft,-,-,-,-,38,-,-,-,-,-,-,-,38
II (Cagayan Valley),Basco,FEAS,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Sky Pasada,-,-,4,52,60,40,24,26,24,24,24,30,308
II (Cagayan Valley),Basco,Military,-,-,2,-,2,-,-,-,2,-,-,-,6
II (Cagayan Valley),Basco,G. Aviation,58,-,10,32,8,8,4,-,6,4,18,24,172
II (Cagayan Valley),Cauayan,Cebu Pacific,26,26,26,26,28,24,28,26,32,32,26,-,300
II (Cagayan Valley),Cauayan,G. Aviation,110,106,18,22,24,8,32,2,-,-,8,34,364
II (Cagayan Valley),Cauayan,PAL,-,-,-,-,-,-,-,-,64,-,-,-,64
II (Cagayan Valley),Cauayan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Cauayan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Cauayan,Cyclone Airways,242,2,208,188,244,198,186,186,154,208,158,188,2162
II (Cagayan Valley),Cauayan,Cyclone Flying,-,44,258,166,228,138,234,184,350,132,104,156,1994
II (Cagayan Valley),Cauayan,WCC,2,-,-,-,-,14,44,46,42,-,48,46,242
II (Cagayan Valley),Cauayan,Asian Aero. Corp,-,-,-,-,-,-,-,-,-,42,-,-,42
II (Cagayan Valley),Itbayat,Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Royal Air,4,-,-,-,-,-,-,-,-,-,-,-,4
II (Cagayan Valley),Itbayat,North Sky Air,4,-,-,-,2,10,10,14,16,28,22,14,120
II (Cagayan Valley),Itbayat,JG Aircraft,-,-,-,-,76,-,-,-,-,-,-,-,76
II (Cagayan Valley),Itbayat,Air Republic,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Aviation Ent.,-,-,-,-,2,-,-,-,-,-,-,-,2
II (Cagayan Valley),Itbayat,G. Aviation,-,-,2,18,-,-,-,-,8,2,20,-,50
II (Cagayan Valley),Palanan,Cyclone,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,78,70,78,60,68,60,60,74,72,76,64,-,760
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippines,58,36,62,60,62,60,60,56,56,58,50,72,690
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,120,116,102,16,26,20,48,64,36,58,40,32,678
II (Cagayan Valley),Tuguegarao (Domestic),Lion Air,16,-,-,-,-,-,-,-,-,-,-,-,16
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,-,-,8,80,102,70,46,50,40,42,52,48,538
II (Cagayan Valley),Tuguegarao (Domestic),ATX,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express,-,92,-,-,-,-,-,-,-,-,-,-,92
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Florida Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,10,22,56,52,48,38,26,14,28,70,82,48,494
II (Cagayan Valley),Tuguegarao (Domestic),Military,4,-,-,2,-,-,-,4,2,-,-,-,12
III (Central Luzon),Iba,G. Aviation,-,-,998,-,-,-,-,-,-,-,-,-,998
III (Central Luzon),Subic ,International,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic ,Domestic,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic ,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,International,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Plaridel,G. Aviation,16100,12618,12048,-,-,-,9014,-,-,-,-,-,49780
NCR,NAIA,International,7147,6400,7208,7267,7517,7266,7271,7121,7201,7290,7529,8141,87358
NCR,NAIA,Domestic,12487,11243,13031,13099,13205,12480,12729,12142,12258,12759,11609,12832,149874
NCR,NAIA,G. Aviation,3160,2894,3172,3653,3354,2666,2751,2194,2124,2571,2901,2836,34276
IV-A (CALABARZON)),Alabat,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Baler,G. Aviation,-,-,48,-,-,-,-,-,-,-,-,-,48
III (Central Luzon),Baler,Cebu Pacific,-,-,18,-,-,-,-,-,-,-,-,-,18
III (Central Luzon),Baler,Military,-,-,4,-,-,-,-,-,-,-,-,-,4
IV-B (MIMAROPA),Busuanga,Air Philippines,124,110,126,120,184,180,176,256,172,172,220,220,2060
IV-B (MIMAROPA),Busuanga,Cebu Pacific,184,168,186,182,184,180,176,256,172,172,220,220,2300
IV-B (MIMAROPA),Busuanga,Sky Jet,-,6,12,28,26,10,-,-,-,-,-,-,82
IV-B (MIMAROPA),Busuanga,Zest Air,96,80,90,92,26,-,-,-,-,-,-,-,384
IV-B (MIMAROPA),Busuanga,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Busuanga,G. Aviation,274,108,120,152,128,94,162,314,174,174,230,230,2160
IV-B (MIMAROPA),Calapan,G. Aviation,78,166,72,126,216,198,164,162,160,186,108,118,1754
IV-B (MIMAROPA),Cuyo,Seair,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,Military,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),Jomalig,G. Aviation,8,2,26,-,-,-,-,-,-,-,-,-,36
IV-B (MIMAROPA),Lubang,G. Aviation,22,1364,1870,1014,1190,1456,1210,1206,604,714,894,934,12478
IV-B (MIMAROPA),Lubang,Military,-,-,-,-,-,2,-,-,-,2,-,-,4
IV-B (MIMAROPA),Mamburao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Mamburao,G. Aviation,68,66,104,38,48,-,-,16,36,380,790,78,1624
IV-B (MIMAROPA),Marinduque,Zest Air,62,54,60,60,-,-,-,16,-,-,-,-,252
IV-B (MIMAROPA),Marinduque,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Marinduque,G. Aviation,-,16,-,16,-,-,-,-,-,-,-,-,32
IV-B (MIMAROPA),Puerto Princesa ,PAL,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa ,PALEX,350,298,316,266,274,326,326,326,284,288,288,288,3630
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,350,310,330,376,392,328,306,306,282,298,286,294,3858
IV-B (MIMAROPA),Puerto Princesa ,Air Asia,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa ,Seair,62,56,56,60,62,60,62,38,60,76,58,88,738
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,238,144,266,274,212,178,50,126,180,184,214,220,2286
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,-,-,-,-,-,-,-,-,-,-,10,28,38
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,130,146,150,230,316,260,162,226,234,244,244,304,2646
IV-B (MIMAROPA),Puerto Princesa ,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Romblon,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Romblon,Zest Air,26,22,26,26,6,-,-,-,-,-,-,-,106
IV-B (MIMAROPA),Romblon,G. Aviation,6,4,-,10,14,12,-,6,24,4,4,4,88
IV-B (MIMAROPA),Romblon,Military,-,-,-,-,-,-,-,-,4,-,-,-,4
IV-A (CALABARZON)),San Jose,PAL,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),San Jose,Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),San Jose,Cebu Pacific,34,30,36,34,42,42,42,42,40,40,42,44,468
IV-A (CALABARZON)),San Jose,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),San Jose,G. Aviation,74,112,84,54,70,188,94,120,48,144,82,24,1094
IV-A (CALABARZON)),San Jose,Military,8,-,8,16,14,10,8,4,6,122,12,-,208
IV-B (MIMAROPA),Pinamalayan,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Wasig,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Bulan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Daet,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Legaspi,PAL,-,44,30,-,-,-,-,-,-,-,-,-,74
V (Bicol Region),Legaspi,Air Philippines,122,68,90,92,112,82,90,86,82,106,60,60,1050
V (Bicol Region),Legaspi,Cebu Pacific,140,162,216,224,230,198,206,236,244,100,214,236,2406
V (Bicol Region),Legaspi,Zest Air,58,56,62,60,16,-,-,-,-,-,-,-,252
V (Bicol Region),Legaspi,G. Aviation,82,48,64,70,46,14,22,12,10,24,38,10,440
V (Bicol Region),Legaspi,Military,12,20,96,106,168,92,84,52,58,2,144,84,918
V (Bicol Region),Masbate,Zest Air,60,58,56,60,20,-,-,-,-,-,-,-,254
V (Bicol Region),Masbate,G. Aviation,2,-,-,20,2,14,10,2,10,4,12,0,76
V (Bicol Region),Masbate,PAL Express,60,56,60,60,62,60,60,62,60,62,56,62,720
V (Bicol Region),Masbate,Cebu Pacific,-,-,-,-,-,26,26,28,22,26,22,10,160
V (Bicol Region),Masbate,Military,-,-,-,-,24,2,2,8,-,12,20,0,68
V (Bicol Region),Naga,Cebu Pacific,132,114,130,106,212,92,106,86,-,-,96,98,1172
V (Bicol Region),Naga,PALEX,102,98,108,96,192,110,112,112,-,-,84,92,1106
V (Bicol Region),Naga,G. Aviation,6,-,120,26,112,4,12,4,-,-,6,4,294
V (Bicol Region),Naga,Military,6,10,20,2,108,12,-,10,-,-,2,2,172
V (Bicol Region),Sorsogon,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,Cebu Pacific,34,32,36,32,36,30,36,30,36,32,30,36,400
V (Bicol Region),Virac,Sky Jet,-,-,-,14,26,14,-,-,-,6,-,-,60
V (Bicol Region),Virac,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,G. Aviation,8,-,-,4,2,-,-,-,2,8,2,2,28
V (Bicol Region),Virac,Military,-,4,-,-,4,-,-,-,-,10,-,2,20
VI (Western Visayas),Antique,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Bacolod,PAL,620,560,616,300,310,300,310,306,300,306,290,310,4528
VI (Western Visayas),Bacolod,Seair,124,112,124,60,62,60,110,90,94,116,86,308,1346
VI (Western Visayas),Bacolod,Cebu Pacific,976,894,1024,582,594,530,532,522,528,554,500,550,7786
VI (Western Visayas),Bacolod,Zest Air,-,-,-,-,44,92,150,100,118,84,58,62,708
VI (Western Visayas),Bacolod,Air Philippines,120,112,124,58,62,102,124,80,60,122,110,116,1190
VI (Western Visayas),Bacolod,Military,-,-,-,2,4,30,-,6,12,-,-,-,54
VI (Western Visayas),Bacolod,G. Aviation,-,-,-,1098,668,746,730,650,576,622,424,200,5714
VI (Western Visayas),Caticlan,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Caticlan,Cebu Pacific,908,770,792,-,-,-,590,568,622,640,450,630,5970
VI (Western Visayas),Caticlan,Air Philippines,570,426,582,-,-,-,498,514,490,574,550,540,4744
VI (Western Visayas),Caticlan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Caticlan,G. Aviation,104,100,86,-,-,-,64,64,56,128,158,162,922
VI (Western Visayas),Caticlan,Military,8,-,-,-,-,-,-,-,-,-,8,2,18
VI (Western Visayas),Iloilo (International),Cebu Pacific,44,38,46,42,42,40,40,34,34,34,32,48,474
VI (Western Visayas),Iloilo,PAL,336,304,510,480,496,456,468,454,440,462,436,470,5312
VI (Western Visayas),Iloilo,Cebu Pacific,786,716,784,758,804,746,774,740,706,732,654,752,8952
VI (Western Visayas),Iloilo,PAL Express,134,156,510,480,804,456,468,-,-,-,-,-,3008
VI (Western Visayas),Iloilo,Zest Air,132,100,150,180,140,166,172,112,120,70,58,62,1462
VI (Western Visayas),Iloilo,Seair,62,48,56,60,62,60,62,54,60,60,58,62,704
VI (Western Visayas),Iloilo,G. Aviation,266,816,872,516,352,248,176,66,82,110,330,420,4254
VI (Western Visayas),Iloilo,Military,-,-,-,-,8,-,-,-,-,-,-,-,8
VI (Western Visayas),Kalibo (International),PAL,70,66,22,46,28,22,42,108,86,104,84,108,786
VI (Western Visayas),Kalibo (International),Air Philippines,64,46,44,44,62,60,62,62,60,62,78,54,698
VI (Western Visayas),Kalibo (International),Cebu Pacific,154,106,96,94,98,102,148,154,118,96,72,100,1338
VI (Western Visayas),Kalibo (International),Yakusa Airlines,-,-,-,-,-,-,-,-,-,-,6,4,10
VI (Western Visayas),Kalibo (International),China M. Air,18,22,18,16,12,-,-,-,-,20,46,30,182
VI (Western Visayas),Kalibo (International),astro air,-,-,-,-,8,-,-,-,-,-,-,-,8
VI (Western Visayas),Kalibo (International),Zest Air,340,210,168,160,268,168,270,256,200,172,108,226,2546
VI (Western Visayas),Kalibo (International),Seair,-,-,-,-,106,36,72,92,76,68,46,36,532
VI (Western Visayas),Kalibo (International),Trans Asia Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
