region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
V (Bicol Region),Legaspi,G. Aviation,28,28,36,46,36,26,22,18,34,20,20,16,330
V (Bicol Region),Legaspi,Military, -   , -   , -   ,6,12,2,2,2,2,28,22,2,78
V (Bicol Region),Masbate,Asian Spirit,54,54,60,60,64,56,62,50,54,26,24,30,594
V (Bicol Region),Masbate,G. Aviation,24,20,10,44,20,36,28,12,12,20,12,6,244
V (Bicol Region),Masbate,Military,4,4, -   ,30,2,30,130,10, -   , -   ,70, -   ,280
V (Bicol Region),Naga,Cebu Pacific, -   , -   , -   , -   , -   ,16, -   ,58,60,58,62,62,316
V (Bicol Region),Naga,Air Philippines,56,56,60,60,60,56,62,62,60,60,60,60,712
V (Bicol Region),Naga,G. Aviation,56,56,60,60,60,56,62,62,60,60,60,60,712
V (Bicol Region),Naga,G. Aviation,12,30,30,18,46,8,16,12,38,14,8,8,240
V (Bicol Region),Naga,Military,2,42,2,6,58,4, -   ,10,30, -   , -   ,2,156
V (Bicol Region),Sorsogon,G. Aviation,4, -   , -   ,8, -   , -   , -   , -   , -   , -   , -   , -   ,12
V (Bicol Region),Sorsogon,Military, -   , -   , -   ,18, -   , -   , -   , -   , -   , -   , -   , -   ,18
V (Bicol Region),Virac,PAL, -   , -   , -   , -   , -   , -   ,34,62,52,64,54,60,326
V (Bicol Region),Virac,Asian Spirit,30,28,30,24,26,28,34,22,22,2,12,6,264
V (Bicol Region),Virac,G. Aviation,4, -   ,2,2,10,22,4, -   ,2,2,2,4,54
V (Bicol Region),Virac,Military,4, -   , -   , -   ,8, -   ,16,8, -   , -   , -   , -   ,36
VI (Western Visayas),Antique,G. Aviation,14,22,8,6,24,26,38,26,24,6,20,92,306
VI (Western Visayas),Bacolod,PAL,236,222,464,236,346,376,328,366,326,400,358,386,4044
VI (Western Visayas),Bacolod,Cebu Pacific,244,230,484,266,290,222,248,260,264,286,348,362,3504
VI (Western Visayas),Bacolod,Air Philippines,122,118,232,120,82,54,60,62,60,44, -   ,8,962
VI (Western Visayas),Bacolod,G. Aviation,138,28,92,104,40,86,108, -   ,62,102,462,114,1336
VI (Western Visayas),Bacolod,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   ,14, -   , -   ,14
VI (Western Visayas),Caticlan,PAL Express,218,224,244,454,530,470,416,382,392,518,412,610,4870
VI (Western Visayas),Caticlan,Cebu Pacific, -   , -   ,246,456,430,328,294,296,292,304,290,466,3402
VI (Western Visayas),Caticlan,Asian Spirit,794,814,810,790,770,466,330,306,254,394,410,444,6582
VI (Western Visayas),Caticlan,Seair,862,764,822,852,816,626,478,552,408,524,520,604,7828
VI (Western Visayas),Caticlan,G. Aviation,136,74,100,138,78,106,116,56,68,118,72,124,1186
VI (Western Visayas),Caticlan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VI (Western Visayas),Iloilo,PAL,248,232,242,240,248,232,220,248,240,248,240,248,2886
VI (Western Visayas),Iloilo,Cebu Pacific,300,270,270,300,378,308,338,332,324,394,396,396,4006
VI (Western Visayas),Iloilo,Air Philippines,244,232,240,240,220,196,246,202,178,122,168,186,2474
VI (Western Visayas),Iloilo,G. Aviation,130,28,48,60,94,96,56,52,84,182,802,650,2282
VI (Western Visayas),Iloilo,Military,22,36,32,20,10,266,60,32,4,16,10,4,512
VI (Western Visayas),Kalibo,PAL,124,128,124,120,124,112,108,116,118,118,122,124,1438
VI (Western Visayas),Kalibo,Cebu Pacific,212,198,244,242,240,148,114,68,60,130,66,62,1784
VI (Western Visayas),Kalibo,Mandarin Air, -   , -   , -   , -   , -   , -   ,18,18,16,20,18,16,106
VI (Western Visayas),Kalibo,Asian Spirit,48,42,34,34, -   , -   , -   , -   , -   , -   , -   , -   ,158
VI (Western Visayas),Kalibo,G. Aviation,48,46,38,30,90,54,36,28,70,134,142,190,906
VI (Western Visayas),Kalibo,Military,6,14,10,6,20,94,80,26,6,24,12,16,314
VI (Western Visayas),Roxas,PAL,62,58,62,60,62,58,62,62,60,62,60,62,730
VI (Western Visayas),Roxas,Cebu Pacific,36,34,44,42,44,40,44,46,52,54,60,62,558
VI (Western Visayas),Roxas,G. Aviation,20,8,20,14,12,28,10,18,14,14,4,12,174
VI (Western Visayas),Roxas,Military,4,4, -   , -   , -   ,20, -   ,4, -   , -   , -   ,4,36
VII (Central Visayas),Dumaguete,PAL, -   , -   , -   , -   , -   , -   , -   ,68,120,124,120,124,556
VII (Central Visayas),Dumaguete,Cebu Pacific,92,88,102,120,122,112,124,122,120,124,120,120,1366
VII (Central Visayas),Dumaguete,Air Philippines,122,116,120,120,98,86,90,40, -   , -   , -   , -   ,792
VII (Central Visayas),Dumaguete,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VII (Central Visayas),Dumaguete,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VII (Central Visayas),Mactan,International,545,1098,592,594,638,572,635,677,-,307,-,-,5658
VII (Central Visayas),Mactan,Domestic,1980,3785,1918,1862,2042,1968,1923,2139,-,1217,-,-,18834
VII (Central Visayas),Mactan,G. Aviation,1206,2783,2083,1760,2332,1823,1981,1795,-,1227,-,-,16990
