region,airport,airline_operator,january ,february,march,april,may,june,july,august,september,october,november,december,total
ARMM,Jolo,AirPhil Express,26, -   ,28,26,26,26,226,26,26,26,26,26,488
ARMM,Jolo,PAL, -   , -   , -   , -   , -   , -   ,124, -   , -   , -   , -   , -   ,124
ARMM,Jolo,Cebu Pacific, -   , -   , -   , -   , -   , -   ,284, -   , -   , -   , -   , -   ,284
ARMM,Jolo,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Liloy,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Pagadian,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Pagadian,Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   ,128, -   , -   ,128
IX (Zamboanga Peninsula),Pagadian,Cebu Pacific,80,72,74,96,98,94,94,92,102,102,104,106,1114
ARMM,Sanga-Sanga,AirPhil Express,62,54,60,58,36,34,36, -   , -   , -   , -   , -   ,340
ARMM,Siocon,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Zamboanga***,PAL,140,112,122,118,124,120,124,124,104,52,120,118,1378
IX (Zamboanga Peninsula),Zamboanga***,Cebu Pacific,270,230,246,294,310,252,284,290,282,334,316,312,3420
IX (Zamboanga Peninsula),Zamboanga***,Air Philippines,414,356,338,330,248,240,226,248,236,280,276,304,3496
IX (Zamboanga Peninsula),Zamboanga***,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Zamboanga***,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Zamboanga***,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Zamboanga***,Military, -   , -   ,594, -   , -   , -   , -   ,1010,914,892,872,934,5216
IX (Zamboanga Peninsula),Zamboanga***,G. Aviation,56,64, -   ,74,86, -   ,98,50,66,68,104,108,774
XIII (Caraga),Butuan,PAL,58,52,62,60,62,60,62,62,52,42,60,62,694
XIII (Caraga),Butuan,Cebu Pacific,168,150,172,172,186,178,184,186,180,212,208,254,2250
XIII (Caraga),Butuan,G. Aviation,16,8,24,26,16,16,28,22,20,10,18,8,212
XIII (Caraga),Butuan,Military,16,4,12,12,8,8,14,14,16,18,16,12,150
X (Northern Mindanao),Cagayan de Oro,PAL,268,258,256,272,256,240,248,246,212,116,192,260,2824
X (Northern Mindanao),Cagayan de Oro,Cebu Pacific,306,268,564,292,308,296,316,346,320,320,308,308,3952
