region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,54,58,58,56,48,14,-,-,-,8,36,60,392
CAR,Baguio,G. Aviation,142,152,140,92,92,52,24,40,28,60,100,134,1056
CAR,Baguio,Military,36,124,114,26,28,54,2,4,4,14,8,86,500
I (Ilocos Norte),Laoag (International),Cebu Pacific,26,24,30,28,28,20,-,-,-,-,-,-,156
I (Ilocos Norte),Laoag (International),Far East Trans,90,84,90,86,100,104,46,42,36,46,52,50,826
I (Ilocos Norte),Laoag (International),Air Philippines,-,-,-,-,-,6,26,26,26,26,26,64,200
I (Ilocos Norte),Laoag (International),China S. Air,86,72,82,76,80,78,16,10,18,18,26,26,588
I (Ilocos Norte),Laoag (International),Mandarin,26,-,-,-,-,-,-,-,-,-,-,-,26
I (Ilocos Norte),Laoag (Domestic),PAL,2,-,-,-,-,-,-,-,-,-,-,-,2
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,30,24,30,28,30,20,-,-,-,-,-,-,162
I (Ilocos Norte),Laoag (Domestic),Air Philippines,-,-,-,-,-,6,26,26,26,26,26,64,200
I (Ilocos Norte),Laoag (Domestic),LIA,60,66,84,138,160,116,94,66,68,60,22,-,934
I (Ilocos Norte),Laoag (Domestic),Chemtrad,10,-,2,32,12,10,-,-,-,-,78,132,276
I (Ilocos Norte),Laoag (Domestic),G. Aviation,24,42,72,100,42,30,20,52,18,24,50,40,514
I (Ilocos Norte),Laoag (Domestic),Military,14,38,18,6,32,20,14,28,8,8,88,22,296
I (Ilocos Norte),Lingayen,G. Aviation,30,58,34,36,48,44,10,26,24,-,-,18,328
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,G. Aviation,38,-,18,14,28,18,6,2,2,-,-,24,150
II (Cagayan Valley),Bagabag,Seair,-,-,-,80,82,-,76,16,92,-,-,56,402
