region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,G. Aviation,104,24,80,88,62,34,38,12,42,106,64,86,740
CAR,Baguio,Military,-,-,52,52,102,4,6,-,2,26,30,20,294
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,-,-,-,-,-,18,-,18
I (Ilocos Norte),Laoag (International),HK Express,-,-,-,-,-,68,86,-,-,30,-,116,300
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,66,-,-,-,-,-,-,66
I (Ilocos Norte),Laoag (International),China Eastern,-,16,18,18,18,16,18,-,-,-,-,18,122
I (Ilocos Norte),Laoag (International),Hongkong Airline,76,84,110,122,-,66,-,96,96,42,-,62,754
I (Ilocos Norte),Laoag (Domestic),Jet Asia,32,-,-,-,-,-,-,-,-,-,-,-,32
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,66,58,62,60,62,62,60,56,60,54,58,30,688
I (Ilocos Norte),Laoag (Domestic),Philippine Airlines,124,100,108,120,124,102,104,100,90,82,84,102,1240
I (Ilocos Norte),Laoag (Domestic),Military,4,-,4,10,12,2,4,32,20,74,28,14,204
I (Ilocos Norte),Laoag (Domestic),G. Aviation,80,94,104,158,150,90,90,8,172,118,144,84,1292
I (Ilocos Norte),Lingayen,G. Aviation,1704,3524,3748,3560,4132,3950,3760,2506,3432,4184,5432,2944,42876
I (Ilocos Norte),Lingayen,Military,4,-,-,-,2-,-,-,-,-,-,-,-,24
I (Ilocos Norte),San Fernando,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,North South  Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,G. Aviation,906,556,684,126,716,408,610,478,676,668,470,478,6776
I (Ilocos Norte),Vigan,Military,-,-,-,-,-,-,-,-,-,2,2,-,4
II (Cagayan Valley),Bagabag,G. Aviation,4,-,28,22,14,8,6,6,6,-,14,16,124
II (Cagayan Valley),Bagabag,Cyclone,-,-,-,-,-,-,20,-,-,-,-,-,20
II (Cagayan Valley),Bagabag,Military,-,-,-,-,8,-,-,-,-,-,-,-,8
II (Cagayan Valley),Basco,Philippine Airlines,58,58,62,56,62,60,56,52,48,52,56,54,674
II (Cagayan Valley),Basco,North Sky Air,26,20,32,28,24,30,10,12,14,10,0,22,228
II (Cagayan Valley),Basco,WCC,34,52,24,72,70,44,26,34,28,46,32,56,518
II (Cagayan Valley),Basco,Sky Jet,36,32,46,44,44,50,46,38,40,40,46,50,512
II (Cagayan Valley),Basco,Military,8,6,10,10,2,-,2,2,24,44,6,10,124
II (Cagayan Valley),Basco,G. Aviation,-,-,22,36,46,18,52,-,4,29,113,22,342
II (Cagayan Valley),Basco,Airswift,-,-,-,-,-,32,20,22,20,16,10,20,140
II (Cagayan Valley),Cauayan,Cebu Pacific,36,34,34,34,34,38,44,40,60,52,52,80,538
II (Cagayan Valley),Cauayan,North Sky Air,40,98,-,-,2,-,-,18,-,-,-,-,158
